box-sizing,border-box,box-border
box-sizing,content-box,box-content
box-sizing,inherit,box-inherit
display,none,hidden
display,block,block
display,inline-block,inline-block
display,inline,inline
display,flex,flex
display,inline-flex,inline-flex
display,grid,grid
display,table,table
display,table-caption,table-caption
display,table-cell,table-cell
display,table-column,table-column
display,table-column-group,table-column-group
display,table-footer-group,table-footer-group
display,table-header-group,table-header-group
display,table-row-group,table-row-group
display,table-row,table-row
float,right,float-right
float,left,float-left
float,none,float-none
clear,left,clear-left
clear,right,clear-right
clear,both,clear-both
clear,none,clear-none
object-fit,contain,object-contain
object-fit,cover,object-cover
object-fit,fill,object-fill
object-fit,none,object-none
object-fit,scale-down,object-scale-down
object-position,bottom,object-bottom
object-position,center,object-center
object-position,left,object-left
object-position,leftbottom,object-left-bottom
object-position,lefttop,object-left-top
object-position,right,object-right
object-position,rightbottom,object-right-bottom
object-position,righttop,object-right-top
object-position,top,object-top
overflow,auto,overflow-auto
overflow,hidden,overflow-hidden
overflow,visible,overflow-visible
overflow,scroll,overflow-scroll
overflow-x,auto,overflow-x-auto
overflow-x,hidden,overflow-x-hidden
overflow-x,visible,overflow-x-visible
overflow-x,scroll,overflow-x-scroll
overflow-y,auto,overflow-y-auto
overflow-y,hidden,overflow-y-hidden
overflow-y,visible,overflow-y-visible
overflow-y,scroll,overflow-y-scroll
-webkit-overflow-scrolling,touch,scrolling-touch
-webkit-overflow-scrolling,auto,scrolling-auto
position,static,static
position,fixed,fixed
position,absolute,absolute
position,relative,relative
position,sticky,sticky
top,0,top-0
top,auto,top-auto
right,0,right-0
right,auto,right-auto
bottom,0,bottom-0
bottom,auto,bottom-auto
left,0,left-0
left,auto,left-auto
visibility,visible,visible
visibility,hidden,invisible
flex-direction,row,flex-row
flex-direction,row-reverse,flex-row-reverse
flex-direction,column,flex-col
flex-direction,column-reverse,flex-col-reverse
flex-wrap,nowrap,flex-no-wrap
flex-wrap,wrap,flex-wrap
flex-wrap,wrap-reverse,flex-wrap-reverse
align-items,stretch,items-stretch
align-items,flex-start,items-start
align-items,center,items-center
align-items,flex-end,items-end
align-items,baseline,items-baseline
align-content,flex-start,content-start
align-content,center,content-center
align-content,flex-end,content-end
align-content,space-between,content-between
align-content,space-around,content-around
align-self,auto,self-auto
align-self,flex-start,self-start
align-self,center,self-center
align-self,flex-end,self-end
align-self,stretch,self-stretch
justify-content,flex-start,justify-start
justify-content,center,justify-center
justify-content,flex-end,justify-end
justify-content,space-between,justify-between
justify-content,space-around,justify-around
flex,01auto,flex-initial
flex,110%,flex-1
flex,11auto,flex-auto
